TP X VALUE, TP Y VALUE, FN X VALUE, FN Y VALUE

0.474791,1.52871,2.52044,2.60115
0.711402,1.76331,3.40216,2.11454
0.763907,1.26004,2.66491,2.64304
0.265598,0.75637,2.22994,3.42762
1.25975,0.971124,1.98961,3.04332
0.318165,-1.04889,2.64223,2.61368
1.59181,1.6321,2.51145,2.68566
1.61771,1.37242,2.54728,2.92058
0.77559,-0.566357,1.96586,3.07675
1.43893,1.53937,1.19134,3.96782
-0.0467228,0.0923758,2.20284,2.88514
1.15785,0.604686,3.06138,3.52865
1.7773,2.69047,1.17897,4.34933
0.925843,-0.450753,3.01437,2.12276
0.940221,1.6387,3.09945,2.20055
2.4275,-0.65402,2.58202,3.00634
1.99792,-0.911083,2.54767,2.45768
0.670496,2.3334,0.688303,4.63235
2.23736,0.240323,2.73228,2.60911
0.986323,0.263274,3.82682,2.81295
2.0798,-0.102523,3.77172,1.41914
2.24019,1.31633,4.01027,2.26274
2.34064,0.895455,2.0571,3.5877
2.54014,0.373309,3.59272,1.60457
1.79109,2.11063,1.61843,3.63515
0.105892,0.686474,3.25471,1.94203
0.828765,0.0824826,2.90908,2.23588
0.485257,-1.27592,2.81375,2.40013
0.669065,-0.71955,2.89548,2.27939
0.28709,1.61279,2.7294,2.86282
1.0023,1.99607,2.63365,2.48074
1.14203,-0.38706,1.15901,4.61098
1.57271,-0.0979093,3.74295,1.6205
0.837737,1.38492,2.58438,3.49271
0.341381,1.42674,3.77064,4.68466
1.59566,2.46907,3.68148,2.99898
1.34245,1.39433,4.09301,2.81127
1.033,0.698786,2.44017,3.05702
2.09955,1.81151,3.34094,1.85057
0.70769,-0.376824,2.21483,2.891
0.64389,-0.505034,3.06492,2.26626
1.40018,-0.0567589,3.22284,2.40264
1.21618,1.46911,1.19952,4.1837
0.996873,1.0366,2.71902,3.21086
0.121305,0.865093,4.40965,1.84713
0.265292,1.72492,1.90393,3.58351
2.63353,2.32835,2.67717,2.58784
2.23229,2.69706,2.7339,3.09815
1.81015,2.43433,1.70973,3.33823
0.22586,1.58333,3.76807,1.47047
0.410198,0.286504,2.77736,2.57984
2.0243,-0.800142,2.86887,2.25707
2.44244,1.67134,2.68127,3.31794
1.3552,0.59073,2.02844,3.57955
1.76399,1.21293,2.70037,2.75619
0.462678,0.0976783,3.11561,1.91679
0.0909838,0.544105,3.05278,2.19738
2.85161,-1.12481,3.12565,2.17294
-2.26894,1.11442,1.90937,3.18431
2.11819,0.125563,2.53355,3.48258
0.866403,1.29667,2.73815,2.84187
1.11805,1.4911,3.05894,2.28931
0.030263,1.01239,4.33794,0.932216
1.8114,1.09885,1.50946,3.77769
0.853252,-1.37707,2.82183,2.3167
1.18865,-1.39587,2.05635,3.02192
2.56564,-0.544063,3.62651,1.98486
2.12974,0.973566,3.56911,2.174
0.463528,2.2769,2.70296,2.53347
1.44308,1.12722,2.70499,2.38784
0.411065,1.38894,3.01186,2.5075
0.48893,1.16021,2.11266,3.01482
1.45032,1.71918,3.42212,1.67939
-0.1024,1.41323,1.47209,3.77128
-0.188348,2.44467,1.58894,3.60579
1.56454,3.36367,3.08216,1.97091
0.00821781,1.36349,3.18681,2.78336
0.293378,0.882416,2.85502,2.3858
1.26377,-0.506508,2.23875,2.83188
1.27455,0.674423,3.74427,1.75502
1.22934,1.16807,2.33473,4.10598
0.624841,1.96347,3.20721,1.80826
0.189877,0.250096,3.51421,2.2272
1.87306,-1.59003,2.94665,2.45633
1.38141,0.739674,2.16942,4.70401
-0.981846,-0.313774,1.9542,3.44489
2.60689,0.150503,2.68737,3.44573
0.44168,-0.426873,1.49978,4.02109
1.14707,1.35589,3.10281,3.41023
1.47239,2.33112,2.83413,2.79201
-0.311649,0.447359,2.31264,2.73765
2.05611,1.55026,4.32191,1.82121
1.31694,2.95217,2.64902,2.82908
1.7294,1.8889,2.71016,3.23094
0.158965,1.10547,3.21683,2.81987
1.16275,1.04053,2.12731,3.00117
0.0228795,2.43501,3.64516,3.57084
-0.610222,1.13306,4.32338,0.846514
1.33663,1.45196,2.7731,2.23349
0.0702043,0.770428,3.17928,2.48727
-0.0516369,1.36518,2.72816,2.6132
2.25395,2.35044,3.48331,2.60242
1.59103,1.23032,3.20114,1.80625
2.66583,-0.867621,2.68373,2.55889
0.900071,0.690762,2.78421,2.36596
0.330659,0.827751,2.14822,2.97599
0.609271,0.555275,2.77138,3.35371
1.83923,2.58796,2.00037,3.09475
0.650025,2.1355,2.11142,2.89068
0.984255,1.07087,3.28714,2.40218
1.88209,2.44442,3.44152,1.57068
-0.522687,0.413501,2.22429,3.08617
1.29887,1.51815,3.99098,1.8429
1.60544,0.713077,2.63655,2.68136
0.180833,2.30724,2.36722,2.94988
1.41982,0.367575,2.80623,2.44601
1.26368,1.60079,1.57395,3.57703
-0.438601,1.08702,1.7242,3.4589
1.26893,0.412995,2.44054,2.74509
-0.0780053,2.10326,3.48006,1.5825
0.512293,1.19833,2.76563,2.86235
2.53108,1.91311,3.51633,1.62834
0.0837268,1.10348,2.61369,3.8321
2.74657,1.23731,2.46247,3.2462
-0.568278,-0.365811,3.21496,2.39114
-0.0630795,0.341549,3.04053,2.61253
-1.88035,1.3764,3.5299,2.95762
-0.112407,-0.688944,2.69733,2.6155
1.99659,0.689582,2.20232,3.10478
0.678077,1.07657,1.37043,3.92922
0.513724,0.954067,4.07144,1.61429
1.44197,2.22136,2.23124,2.82028
1.16892,0.251595,2.32586,3.13242
2.29531,-0.172884,2.83806,2.65484
2.29277,0.388227,3.60257,1.70316
1.08159,1.92213,2.02857,3.01896
1.71519,-0.437381,2.78822,2.62615
1.48197,0.449519,2.60384,2.94814
-0.759944,1.67025,2.05302,3.57793
0.170355,1.61329,3.1114,2.40592
-0.175614,1.92275,3.65787,1.83736
0.416964,2.26549,4.24825,1.89323
0.361502,0.29709,2.55145,2.77643
-0.711604,-0.672475,3.73474,2.49767
2.26667,-0.0298092,2.17243,3.0719
-0.58843,0.515564,2.498,2.50803
0.162879,1.13354,3.71421,2.08041
0.584878,1.73076,3.52019,1.80354
1.63808,1.51572,2.22915,2.88399
0.855115,0.0498766,2.42135,2.87835
0.732332,-0.222615,4.07293,1.75378
1.59219,1.99061,3.35074,2.31992
0.58946,0.86011,2.56856,2.63118
1.7003,1.23245,3.4859,1.88085
-0.407824,0.409046,2.33926,2.88171
0.0447797,1.35472,2.77396,3.02717
0.810777,-0.475496,2.75324,2.78921
-1.12674,0.738048,3.96532,2.12925
-0.176553,0.853079,4.60626,1.94284
1.14687,1.54056,4.21885,1.059
1.55272,-0.725225,2.73538,3.08028
-0.600778,1.29468,4.04931,1.23307
1.73349,2.14528,1.55659,3.97423
1.7832,1.64367,3.82369,2.42301
1.16783,1.76912,2.99902,2.04355
0.87402,1.97554,2.03971,3.27856
1.06266,1.11993,3.878,1.28501
1.09625,0.683043,3.34908,2.30162
0.914632,0.30227,2.65569,2.4379
-0.0105648,1.49489,1.68819,3.8045
2.75754,-0.0237921,2.33893,2.88546
1.49837,0.0688172,2.70748,2.4749
2.35382,0.709637,3.43926,2.56526
1.76088,1.54231,4.00428,1.14004
3.17667,1.20931,3.4426,2.02074
1.58807,0.956044,3.27698,2.15418
0.887909,0.0298419,2.32479,3.34892
0.496708,0.909,1.88579,4.07199
0.0490968,1.22616,3.61085,2.17798
1.72967,2.73362,2.66635,2.79179
2.03136,-0.224408,2.77847,2.65239
0.533592,0.480187,3.5897,1.68891
1.34958,-0.31392,3.27154,2.70252
0.723685,0.78004,3.35534,3.5258
0.672439,2.34154,2.10494,4.10947
1.7866,0.175183,2.73555,2.94884
0.841294,3.3003,1.76098,3.52307
0.77865,1.37147,3.22296,2.4802
1.07442,0.368015,1.72934,3.37151
2.68016,1.38688,1.78631,3.73918
-1.45016,0.577583,3.09234,2.29597
1.70787,0.225599,2.18489,2.8744
-0.0208528,2.3105,3.77645,1.59854
-0.871557,0.789476,3.378,2.07796
1.69554,0.424445,1.66063,4.1109
0.326129,0.146906,3.07843,2.35378
2.08495,1.34385,3.37122,2.17884
0.786745,-0.32372,2.90053,3.22887
1.09702,1.86189,2.22454,2.84662
-0.010816,0.640681,2.64644,3.13095
1.5132,2.10647,3.22628,2.20954
0.352736,1.37745,2.3442,2.75847
0.979457,0.802162,2.31522,3.59161
1.01074,-0.630903,3.17219,2.14691
1.72615,0.272297,0.879971,4.19781
1.89832,0.570291,1.70491,3.41094
1.89024,1.354,3.72195,1.44736
-0.386394,-0.431016,2.09928,3.36218
0.746335,0.055646,1.00478,4.85037
1.94794,0.869029,3.24771,2.37734
-0.0235623,0.0845487,3.40411,1.83058
1.47441,1.11087,4.32794,1.21836
1.76185,1.573,1.45206,3.77906
2.19288,0.201939,2.2887,3.00682
1.0606,0.779846,3.55052,3.04883
0.439833,1.77147,1.70889,3.30146
