TP X VALUE, TP Y VALUE, FN X VALUE, FN Y VALUE

-0.687604,0.494618,3.45495,-0.0517048
-0.876223,1.85844,2.14034,1.72908
0.511804,3.04255,1.9928,2.15803
0.871867,-0.0154474,2.03571,2.19257
1.63999,2.17333,2.10157,1.88742
-2.06626,1.4147,3.28821,1.64793
0.774958,2.35516,3.44024,1.24406
-0.505157,0.137616,1.61392,2.38582
0.694274,2.64848,2.24824,1.74656
1.82146,0.782248,1.62291,2.51499
-1.11411,1.14608,3.0759,1.09427
0.658043,0.778745,2.63586,-0.342607
1.59047,0.910923,2.34447,1.77399
1.1395,0.922674,3.77821,0.860767
0.352292,0.829286,2.34112,2.21825
2.40373,0.458448,0.257869,3.34492
0.580976,2.24925,2.68366,-0.151144
0.234718,0.267751,3.26306,0.74188
1.44536,2.36345,0.947176,3.36367
1.25761,0.948149,2.69152,0.0230919
0.628948,2.2694,1.04633,3.69877
-0.429488,0.117896,2.52672,-0.700105
1.3281,0.418201,2.35422,1.75227
0.60041,1.42538,3.46385,0.0403172
0.964972,0.828553,3.03892,0.361191
1.37507,0.132488,4.36319,1.30121
1.07704,-0.532696,-0.474733,3.62918
0.0737028,1.37927,3.69398,0.24351
1.49195,1.45801,3.44279,0.128151
1.73816,1.98783,1.06851,2.9397
-0.40834,0.693042,3.09047,-0.0756618
0.557746,2.89422,2.85675,2.00444
0.0770333,1.0429,0.974756,2.89814
0.972066,-0.427705,2.16265,2.20315
1.53417,-0.227354,2.13082,2.53069
1.8579,-0.151824,0.835765,3.1563
0.44796,2.49107,2.29423,2.54962
0.667085,0.675738,1.46519,2.53739
0.655947,1.58853,3.04834,-0.466642
1.10197,1.00397,2.42287,0.962877
0.833819,0.631936,2.14806,2.75827
1.15834,0.431394,0.025252,3.94964
0.681559,0.968045,1.59086,2.39637
1.37371,0.900369,2.78958,-0.200682
1.48109,0.872347,2.8434,0.0288894
0.84845,0.681429,1.99648,2.8131
0.37853,0.112978,3.365,1.9673
-0.0802888,0.953189,2.62408,1.29669
0.085316,2.50335,2.33039,1.77128
-1.11458,0.116041,3.16411,2.12811
2.0005,0.0866345,2.73772,2.62476
0.847366,2.83305,0.690399,3.15122
0.0201658,-0.57699,2.55894,2.48639
2.26785,0.253146,1.59034,2.92775
0.673105,2.07685,3.89362,-0.0530484
1.53093,1.8182,2.39935,1.16335
1.78721,1.39024,0.901802,3.86833
-0.29259,0.893374,2.65142,1.79813
1.27374,-0.624912,2.63851,1.21408
1.11659,1.75457,3.27567,1.50438
0.888534,0.515411,-0.0108905,3.38557
1.28922,1.33324,2.71659,1.01062
1.85919,0.337348,3.21082,1.79469
0.00748974,-1.72523,1.43276,2.60502
-0.389577,0.412762,2.00812,2.72545
1.00961,0.18429,2.46927,0.958505
0.531612,2.2485,1.96697,2.49126
-0.478531,0.45509,2.76431,0.758523
0.789451,-0.733631,1.69482,2.41627
-0.784234,0.606515,1.38901,2.54441
1.07429,0.832034,1.69654,2.30205
1.86375,-0.694099,1.69377,3.09311
2.00605,0.794205,2.92648,1.11644
1.86143,1.47458,3.44429,-0.39257
1.03183,0.0189079,3.11375,1.41838
0.521238,1.4634,1.94481,2.2005
1.33158,0.519804,1.63621,3.02828
-1.56462,0.396802,2.42996,1.8227
0.289727,-1.70531,3.62411,0.697875
1.84937,-0.468566,3.38354,2.00411
0.554502,2.36071,2.14064,3.20205
0.704216,0.318871,2.00025,2.56068
0.795731,-1.77865,2.64685,0.227917
2.50046,-0.0700326,1.51389,3.13549
1.34832,1.76696,3.20277,1.26055
1.5363,1.93155,3.61512,0.664704
0.624159,0.272633,2.69364,2.85746
1.00911,2.18646,2.85166,-0.441442
1.49701,1.64509,1.20052,3.09034
0.974497,-0.44503,2.06903,-1.86132
0.397,0.710497,2.84545,1.61037
0.406337,0.650459,2.84853,-0.089816
0.586956,1.50448,1.72652,2.56149
0.341535,1.22555,1.5184,2.69701
1.99618,1.25261,2.66517,1.13387
-0.670381,2.60444,1.78997,2.13042
0.627542,0.236739,2.53881,-0.970773
0.136359,1.03087,1.27754,2.74355
1.75546,0.416676,3.0587,2.28118
0.408605,1.74785,1.18023,3.50356
1.07989,1.74252,2.74604,-0.622072
1.54621,1.36463,2.89842,0.878775
1.95789,0.467796,2.34575,3.11317
1.80542,1.89648,2.66184,0.226546
1.7207,0.678554,3.19949,0.176722
1.34402,1.25682,2.31422,1.25277
0.951441,2.30367,2.78532,0.228443
1.96487,1.64971,2.24918,1.78792
0.00620109,1.5663,2.10707,2.19362
1.24677,2.17801,2.49874,-0.687841
0.161288,0.596813,2.24195,2.27506
1.12001,2.29861,2.18549,2.47588
1.47269,1.67197,3.16606,1.6412
1.44496,-0.51026,2.70578,0.0269549
1.42276,-0.138477,3.36003,3.24691
1.22499,0.952491,2.5663,-0.478266
